Refcode,largest_cavity_diameter,pore_limiting_diameter,largest_included_sphere_along_free_sphere_path,Unitcell_volume,Density_g/cm3,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g
YELNUY,1.49705,0.75489,1.48857,347.055,2.63119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENRUO,1.97107,1.17403,1.55798,1461.75,2.32769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEFJAA,4.77902,4.53228,4.77211,1257.98,2.29708,1220.15,531.172,0.0,0.0,335.127,0.2664,0.115973,0.0,0.0,0.0
TOXJOF,3.4668,2.42367,3.46629,1888.52,2.8991,0.0,0.0,325.979,112.441,0.0,0.0,0.0,198.068,0.10488,0.0361767
MUPZEE,2.30497,1.31489,2.30067,8140.27,1.96029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CADTUA,2.35372,1.27401,2.34684,867.241,1.68621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAWQIF,2.15208,1.46533,2.15208,1933.02,1.64417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUGROM,1.42872,0.73292,1.41572,551.325,2.26674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CATART04,2.83071,2.03893,2.83071,936.068,1.59072,0.0,0.0,13.189,8.29119,0.0,0.0,0.0,31.3208,0.03346,0.0210344
CATART08,2.82121,2.04973,2.82121,934.813,1.59286,0.0,0.0,12.9901,8.15523,0.0,0.0,0.0,28.7922,0.0308,0.0193363
EBEZAO,2.44126,1.40853,2.15405,1169.11,2.06992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELOFAM,1.67644,0.97489,1.67644,789.87,1.74973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAASCO04,2.03314,1.11227,1.90756,787.003,1.79911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
