Refcode,largest_cavity_diameter,pore_limiting_diameter,largest_included_sphere_along_free_sphere_path,Unitcell_volume,Density_g/cm3,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g
GIMLIX,3.17619,1.0366,3.17277,1099.18,2.39969,0.0,0.0,111.996,46.6711,0.0,0.0,0.0,58.74,0.05344,0.0222695
GAWZAI,4.10416,1.99255,4.0647,1536.35,1.74974,0.0,0.0,412.418,235.702,0.0,0.0,0.0,162.207,0.10558,0.0603404
FETHES02,2.58585,1.1784,2.38116,1059.92,2.18101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIQKOI,2.50301,1.2813,2.50301,1016.89,2.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIXSEN,2.38945,1.05799,2.21618,1685.8,1.99069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEYPIJ,2.37833,1.28453,2.34152,780.519,1.69027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEXREG,1.42334,0.88585,1.38725,724.623,3.97011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAJQUF,3.17995,1.34302,3.17995,2727.9,1.6807,0.0,0.0,56.702,33.7372,0.0,0.0,0.0,72.453,0.02656,0.015803
GEZXAM,1.95595,1.21193,1.8236,3019.77,2.17347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEZWOZ,1.84045,0.89875,1.84014,2797.0,2.28216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOCTIC,2.34789,1.22776,2.32255,2863.93,2.90736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAXRIJ,1.84932,0.9353,1.84684,1148.82,2.16881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAMGOX,11.0067,10.08577,11.0067,2213.76,0.79708,1380.01,1731.33,0.0,0.0,1230.76,0.55596,0.697496,0.0,0.0,0.0
HOFRAY,4.24316,3.41071,4.22963,1375.56,3.70682,1096.7,295.859,0.0,0.0,310.298,0.22558,0.0608554,0.0,0.0,0.0
IYUFIS,5.71791,4.04091,5.70626,2000.26,2.22552,1758.47,790.136,0.0,0.0,717.532,0.35872,0.161185,0.0,0.0,0.0
HILJES,2.57176,1.43096,2.57176,1214.98,2.00933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
